Layer1	Layer2	CKA_Value
fc	projection	0.4871317582281392
fc	batch_norm	0.01255966113738813
fc	fc	0.9422511909676848
spatio_temporal	spatio_temporal	0.9574965032683167
spatio_temporal	pool	0.042245546267874405
spatio_temporal	dropout	0.042245546267874405
spatio_temporal	projection	0.032636699391451016
spatio_temporal	batch_norm	0.9069074546416063
spatio_temporal	fc	0.01410638673375371
pool	spatio_temporal	0.04199500571393383
pool	pool	0.9947484752269145
pool	dropout	0.9947484752269145
pool	projection	0.9854591489863473
pool	batch_norm	0.03589167782466261
pool	fc	0.5068829607878153
dropout	spatio_temporal	0.04199500571393383
dropout	pool	0.9947484752269145
dropout	dropout	0.9947484752269145
dropout	projection	0.9854591489863473
dropout	batch_norm	0.03589167782466261
dropout	fc	0.5068829607878153
projection	spatio_temporal	0.031881281548923765
projection	pool	0.9809465141949475
projection	dropout	0.9809465141949475
projection	projection	0.9903097968933676
projection	batch_norm	0.027025869440608738
projection	fc	0.5397765094908928
batch_norm	spatio_temporal	0.8940246119404185
batch_norm	pool	0.03535909502535047
batch_norm	dropout	0.03535909502535047
batch_norm	projection	0.02753543062799338
batch_norm	batch_norm	0.9877140896568294
batch_norm	fc	0.013272574740977374
fc	spatio_temporal	0.01310555166924679
fc	pool	0.4539175373867711
fc	dropout	0.4539175373867711
fc	projection	0.49112057840666695
fc	batch_norm	0.01257566365012996
fc	fc	0.9338750429334296
spatio_temporal	spatio_temporal	0.9545155933106982
spatio_temporal	pool	0.04061146885523276
spatio_temporal	dropout	0.04061146885523276
spatio_temporal	projection	0.031208287506366533
spatio_temporal	batch_norm	0.8905752116696427
spatio_temporal	fc	0.012199031130429343
pool	spatio_temporal	0.042967052925656994
pool	pool	0.9934768153320108
pool	dropout	0.9934768153320108
pool	projection	0.9803942010730669
pool	batch_norm	0.0351748582676187
pool	fc	0.44315664928677234
dropout	spatio_temporal	0.042967052925656994
dropout	pool	0.9934768153320108
dropout	dropout	0.9934768153320108
dropout	projection	0.9803942010730669
dropout	batch_norm	0.0351748582676187
dropout	fc	0.44315664928677234
projection	spatio_temporal	0.03290289921773776
projection	pool	0.9800479245888732
projection	dropout	0.9800479245888732
projection	projection	0.9908350117712038
projection	batch_norm	0.026512126384331897
projection	fc	0.4747532330440882
batch_norm	spatio_temporal	0.8928899574219354
batch_norm	pool	0.033973589640045695
batch_norm	dropout	0.033973589640045695
batch_norm	projection	0.026155250933978563
batch_norm	batch_norm	0.9897609560521464
batch_norm	fc	0.011708885387736914
fc	spatio_temporal	0.013245956836882717
fc	pool	0.44424912398877275
fc	dropout	0.44424912398877275
fc	projection	0.4836674129393401
fc	batch_norm	0.01243280913025954
fc	fc	0.9456112362477329
spatio_temporal	spatio_temporal	0.953074208619453
spatio_temporal	pool	0.040393381254082185
spatio_temporal	dropout	0.040393381254082185
spatio_temporal	projection	0.030586261063672668
spatio_temporal	batch_norm	0.8976740796457688
spatio_temporal	fc	0.014005084854931415
pool	spatio_temporal	0.040570806592547665
pool	pool	0.9943688695328389
pool	dropout	0.9943688695328389
pool	projection	0.9826267068995361
pool	batch_norm	0.035007856420926985
pool	fc	0.4626708507817869
dropout	spatio_temporal	0.040570806592547665
