Layer1	Layer2	CKA_Value
spatial	pool	0.03578904786023481
spatial	dropout	0.03578904786023481
spatial	batch_norm	0.8223646704048793
spatial	fc	0.018451248045031208
pool	temporal	0.02510834408130421
pool	spatial	0.03611336481216982
pool	pool	0.987149615655229
pool	dropout	0.987149615655229
pool	batch_norm	0.39289126472953195
pool	fc	0.6163606970732309
dropout	temporal	0.02510834408130421
dropout	spatial	0.03611336481216982
dropout	pool	0.987149615655229
dropout	dropout	0.987149615655229
dropout	batch_norm	0.39289126472953195
dropout	fc	0.6163606970732309
batch_norm	temporal	0.3785299363685214
batch_norm	spatial	0.7813495687480392
batch_norm	pool	0.423425884221719
batch_norm	dropout	0.423425884221719
batch_norm	batch_norm	0.948448875934249
batch_norm	fc	0.2552921597151203
fc	temporal	0.011266181981394842
fc	spatial	0.019047599468815013
fc	pool	0.6405650739691701
fc	dropout	0.6405650739691701
fc	batch_norm	0.24573349629484378
fc	fc	0.9560748668971218
temporal	temporal	0.9960993012338405
temporal	spatial	0.519694988625228
temporal	pool	0.025815615504168624
temporal	dropout	0.025815615504168624
temporal	batch_norm	0.3853506457262582
temporal	fc	0.011067221157414767
spatial	temporal	0.5193818345135928
spatial	spatial	0.9796924133283738
spatial	pool	0.03658920250242241
spatial	dropout	0.03658920250242241
spatial	batch_norm	0.7865914223093298
spatial	fc	0.018235647711498694
pool	temporal	0.024778565340559406
pool	spatial	0.03638205414905559
pool	pool	0.9859129772134227
pool	dropout	0.9859129772134227
pool	batch_norm	0.4094542135597795
pool	fc	0.6299938554728981
dropout	temporal	0.024778565340559406
dropout	spatial	0.03638205414905559
dropout	pool	0.9859129772134227
dropout	dropout	0.9859129772134227
dropout	batch_norm	0.4094542135597795
dropout	fc	0.6299938554728981
batch_norm	temporal	0.3885376780049271
batch_norm	spatial	0.7814788903192144
batch_norm	pool	0.4257426044212517
batch_norm	dropout	0.4257426044212517
batch_norm	batch_norm	0.9526333265752683
batch_norm	fc	0.2619553305874559
fc	temporal	0.011365028892634065
fc	spatial	0.019341531395612382
fc	pool	0.641008990699058
fc	dropout	0.641008990699058
fc	batch_norm	0.25670100041968863
fc	fc	0.9589394390098148
temporal	temporal	0.9993894255137631
temporal	spatial	0.48929189738320955
temporal	pool	0.025341894289404462
temporal	dropout	0.025341894289404462
temporal	batch_norm	0.38850504402051783
temporal	fc	0.011290924956663381
spatial	temporal	0.5138829183981556
spatial	spatial	0.9803794416672527
spatial	pool	0.03579382071526901
spatial	dropout	0.03579382071526901
spatial	batch_norm	0.809980208348115
spatial	fc	0.01831141343530305
pool	temporal	0.025304675397736388
pool	spatial	0.03467728168081598
pool	pool	0.9856409129467322
pool	dropout	0.9856409129467322
pool	batch_norm	0.40513230262632166
pool	fc	0.6243212453876208
dropout	temporal	0.025304675397736388
dropout	spatial	0.03467728168081598
dropout	pool	0.9856409129467322
dropout	dropout	0.9856409129467322
dropout	batch_norm	0.40513230262632166
dropout	fc	0.6243212453876208
batch_norm	temporal	0.38306089489417194
batch_norm	spatial	0.7778271929630747
batch_norm	pool	0.4235970878835685
batch_norm	dropout	0.4235970878835685
batch_norm	batch_norm	0.9507264091904839
batch_norm	fc	0.259142485743082
fc	temporal	0.011370024208872407
fc	spatial	0.018628255570113994
fc	pool	0.6380571473234932
fc	dropout	0.6380571473234932
fc	batch_norm	0.25268041692891524
fc	fc	0.9529085640825241
temporal	temporal	0.9963827899460257
temporal	spatial	0.6131201096591241
temporal	pool	0.025989127252923967
temporal	dropout	0.025989127252923967
temporal	batch_norm	0.3937759032144768
temporal	fc	0.01096860827927473
spatial	temporal	0.5157127482973234
spatial	spatial	0.969940207309089
spatial	pool	0.036754490417384676
spatial	dropout	0.036754490417384676
spatial	batch_norm	0.7965535978601217
spatial	fc	0.018341757832218083
pool	temporal	0.025931372747570094
pool	spatial	0.038519713460014954
pool	pool	0.9848057956107504
pool	dropout	0.9848057956107504
pool	batch_norm	0.3974136927913316
pool	fc	0.6189988955022768
dropout	temporal	0.025931372747570094
dropout	spatial	0.038519713460014954
dropout	pool	0.9848057956107504
dropout	dropout	0.9848057956107504
dropout	batch_norm	0.3974136927913316
dropout	fc	0.6189988955022768
batch_norm	temporal	0.38350192647848497
batch_norm	spatial	0.7706068361585318
batch_norm	pool	0.4246464857088257
batch_norm	dropout	0.4246464857088257
batch_norm	batch_norm	0.9543209830611172
batch_norm	fc	0.2571169893566975
fc	temporal	0.011520073643599575
fc	spatial	0.019941516153300577
fc	pool	0.6335643627865346
fc	dropout	0.6335643627865346
fc	batch_norm	0.24721007428140201
fc	fc	0.9549903822441828
temporal	temporal	0.9948658086382699
temporal	spatial	0.5278039125203279
temporal	pool	0.02605668742901569
temporal	dropout	0.02605668742901569
temporal	batch_norm	0.42066664961936534
temporal	fc	0.011409355236046541
spatial	temporal	0.5397603629483243
spatial	spatial	0.9750027336747457
spatial	pool	0.035841105470495606
spatial	dropout	0.035841105470495606
spatial	batch_norm	0.7862504269882475
spatial	fc	0.01813421062873753
pool	temporal	0.026392198115328953
pool	spatial	0.036809807652697375
pool	pool	0.9808257018464741
pool	dropout	0.9808257018464741
pool	batch_norm	0.3910991752623567
pool	fc	0.6244093621629274
dropout	temporal	0.026392198115328953
dropout	spatial	0.036809807652697375
dropout	pool	0.9808257018464741
dropout	dropout	0.9808257018464741
dropout	batch_norm	0.3910991752623567
dropout	fc	0.6244093621629274
batch_norm	temporal	0.41612584318784424
batch_norm	spatial	0.8035954118931924
batch_norm	pool	0.39070462837656605
batch_norm	dropout	0.39070462837656605
batch_norm	batch_norm	0.9455239346460005
batch_norm	fc	0.2393959868499975
fc	temporal	0.011581201517931503
fc	spatial	0.018843407876123736
fc	pool	0.625869326400199
fc	dropout	0.625869326400199
fc	batch_norm	0.24081855325827178
fc	fc	0.9404187348981906
temporal	temporal	0.9988080414985244
temporal	spatial	0.5080385238688033
temporal	pool	0.025940731936597267
temporal	dropout	0.025940731936597267
temporal	batch_norm	0.39518549071242987
temporal	fc	0.010974336321691609
spatial	temporal	0.5307608379571385
spatial	spatial	0.9824550519062907
spatial	pool	0.03606557682844366
spatial	dropout	0.03606557682844366
spatial	batch_norm	0.7885134043222591
spatial	fc	0.017552754332911306
pool	temporal	0.02562584381390094
pool	spatial	0.0351439289226169
pool	pool	0.9850040767595741
pool	dropout	0.9850040767595741
pool	batch_norm	0.40173030541062343
pool	fc	0.6288488506251955
dropout	temporal	0.02562584381390094
dropout	spatial	0.0351439289226169
dropout	pool	0.9850040767595741
dropout	dropout	0.9850040767595741
dropout	batch_norm	0.40173030541062343
dropout	fc	0.6288488506251955
batch_norm	temporal	0.40844035357454755
batch_norm	spatial	0.7975722528255929
batch_norm	pool	0.39378713180546054
batch_norm	dropout	0.39378713180546054
batch_norm	batch_norm	0.9525273089201057
batch_norm	fc	0.2412156641417196
fc	temporal	0.01123029528856901
fc	spatial	0.018180931387506268
fc	pool	0.6281612069633459
fc	dropout	0.6281612069633459
fc	batch_norm	0.24746614251226007
fc	fc	0.9568864650006913
temporal	temporal	0.9980963102756435
temporal	spatial	0.5589539444209333
temporal	pool	0.025928716124823007
temporal	dropout	0.025928716124823007
temporal	batch_norm	0.43357456075928674
temporal	fc	0.011244548533331645
spatial	temporal	0.5337636469858237
spatial	spatial	0.976119676950656
spatial	pool	0.03496818805741775
spatial	dropout	0.03496818805741775
spatial	batch_norm	0.7911510116759295
spatial	fc	0.018076608417188493
pool	temporal	0.02558346465240243
pool	spatial	0.03703227874258313
pool	pool	0.9805609903741943
pool	dropout	0.9805609903741943
pool	batch_norm	0.4043441780438394
pool	fc	0.6115322194854892
dropout	temporal	0.02558346465240243
dropout	spatial	0.03703227874258313
dropout	pool	0.9805609903741943
dropout	dropout	0.9805609903741943
dropout	batch_norm	0.4043441780438394
dropout	fc	0.6115322194854892
batch_norm	temporal	0.4119480809304275
batch_norm	spatial	0.8015366125200454
batch_norm	pool	0.39032682824354636
batch_norm	dropout	0.39032682824354636
batch_norm	batch_norm	0.9465917433848299
batch_norm	fc	0.23452763279168176
fc	temporal	0.011313442004602657
fc	spatial	0.018634735682604275
fc	pool	0.6133449740748462
fc	dropout	0.6133449740748462
fc	batch_norm	0.24333360825107206
fc	fc	0.9417854147067547
temporal	temporal	0.9984791099694291
temporal	spatial	0.576438024272039
temporal	pool	0.025164488585803106
temporal	dropout	0.025164488585803106
temporal	batch_norm	0.41355269277441786
temporal	fc	0.011092139202315646
spatial	temporal	0.5338608511654394
spatial	spatial	0.9735735238944154
spatial	pool	0.03564801315480547
spatial	dropout	0.03564801315480547
spatial	batch_norm	0.8031155288120714
spatial	fc	0.018016668079241367
pool	temporal	0.02585633138985112
pool	spatial	0.03781127039857443
pool	pool	0.9847219427864943
pool	dropout	0.9847219427864943
pool	batch_norm	0.40537291849242707
pool	fc	0.6305945301586346
dropout	temporal	0.02585633138985112
dropout	spatial	0.03781127039857443
dropout	pool	0.9847219427864943
dropout	dropout	0.9847219427864943
dropout	batch_norm	0.40537291849242707
dropout	fc	0.6305945301586346
