Layer1	Layer2	CKA_Value
fc	spatial	0.014980102238596285
fc	pool	0.4359642976093967
fc	dropout	0.4359642976093967
fc	projection	0.4947178021994582
fc	batch_norm	0.09497280907930901
fc	fc	0.9316990314877001
temporal	temporal	0.9951495374870362
temporal	spatial	0.6927492698273776
temporal	pool	0.02476670676575994
temporal	dropout	0.02476670676575994
temporal	projection	0.022546597691559953
temporal	batch_norm	0.5555654589095547
temporal	fc	0.010976165445634838
spatial	temporal	0.7027094669504601
spatial	spatial	0.9678441670366896
spatial	pool	0.03776509830386549
spatial	dropout	0.03776509830386549
spatial	projection	0.03456546983563118
spatial	batch_norm	0.8987172987480403
spatial	fc	0.015064179688032914
pool	temporal	0.02702882434981496
pool	spatial	0.038218893442583814
pool	pool	0.9836426851196464
pool	dropout	0.9836426851196464
pool	projection	0.9583012473569138
pool	batch_norm	0.24741910127684497
pool	fc	0.4503724595251209
dropout	temporal	0.02702882434981496
dropout	spatial	0.038218893442583814
dropout	pool	0.9836426851196464
dropout	dropout	0.9836426851196464
dropout	projection	0.9583012473569138
dropout	batch_norm	0.24741910127684497
dropout	fc	0.4503724595251209
projection	temporal	0.024192299645553715
projection	spatial	0.034001703273031224
projection	pool	0.9649326571669237
projection	dropout	0.9649326571669237
projection	projection	0.9805636874117244
projection	batch_norm	0.2391701464323077
projection	fc	0.5182302458391949
batch_norm	temporal	0.5502946963386887
batch_norm	spatial	0.9073253160653788
batch_norm	pool	0.22531996072372357
batch_norm	dropout	0.22531996072372357
batch_norm	projection	0.21780128633878743
batch_norm	batch_norm	0.9657805485042525
batch_norm	fc	0.10140454409233604
fc	temporal	0.011362571487392486
fc	spatial	0.014925133391088094
fc	pool	0.4339882646957288
fc	dropout	0.4339882646957288
fc	projection	0.4762609000573009
fc	batch_norm	0.10628453031673
fc	fc	0.9299117579526378
temporal	temporal	0.9944470225267781
temporal	spatial	0.6563668244373606
temporal	pool	0.02384234972507139
temporal	dropout	0.02384234972507139
temporal	projection	0.021911684291249754
temporal	batch_norm	0.5554586484759279
temporal	fc	0.01064403317445295
spatial	temporal	0.7007643905609539
spatial	spatial	0.9677799472537926
spatial	pool	0.03675772330452175
spatial	dropout	0.03675772330452175
spatial	projection	0.033622594519535094
spatial	batch_norm	0.904037567252588
spatial	fc	0.014350936999354729
pool	temporal	0.026526025836327953
pool	spatial	0.03860350810891833
pool	pool	0.9827251659159375
pool	dropout	0.9827251659159375
pool	projection	0.9490050433830944
pool	batch_norm	0.2647663345439072
pool	fc	0.4070874031201158
dropout	temporal	0.026526025836327953
